ID,STATUS,ENT_CODE,ENT_DESC,CAT_CODE,CAT_DESC,CAT_DATE,CAT_VERSION,QTY,PART_NUM,PART_DESC,PART_DESC_EXT,PART_TYPE,TAG1,TAG2,TAG3,TAG4,TAG5,LIST_PRICE,LIST_PRICE_LOCKED,LIST_PRICE_EXT,CUSTOMER_PERCENT,CUSTOMER_PRICE,CUSTOMER_EXT,DEALER_PRICE,DEALER_PERCENT,DEALER_EXT,MARGIN,MARGIN_PERCENT,MARGIN_EXT,PRICE_ZONE,TAXABLE,IMAGE_FILE,PART_CLASS,GENERIC_CODE,WEIGHT,WEIGHT_EXT,VOLUME,VOLUME_EXT,TYPE_PATH,TOC_INDEX,SPECIAL_NUMBER,SIF_NOTE,REPORT_NOTE,CREATOR_NAME,CREATE_DATE_TIME,MODIFICATION_DATE_TIME,MODIFICATION_USER,LINE_ITEM_NOTES,LINE_NUMBER,ALIAS,ALIAS_DESC,PROJECT_ID,RECORD_LOCKED,BLOCK_ID,BREAD_CRUMB_TRAIL,BLANK3,VISUAL_INDICATOR_GRP_ID,VISUAL_INDICATOR,BLANK6,BLANK7,BLANK8,BLANK9,BLANK10
8,2,HON,HON,HSN,HON Seating,2023-03-01 : 2024-03-01,,1.0,HIWMRA,Ign 2.0 Mid-back ReActiv,,0,,,,,,1120.0,0,1120.0,-40.78333333333333,663.23,663.23,497.42,-55.5875,497.42,165.81,25.0,165.81,1,1,C:\Users\julha\AppData\Local\Temp\ProjectMatrix Temp\3D\3SOPART_HIWMM_MAIN_cde78909-f388-410b-940b-e271dd30f4ba.png,,IGNITION2,53.0,53.0,11.1,11.1,,0,,,,CONFIGURA\julha,3/7/2023 11:36:10 AM,3/7/2023 12:10:08 PM,CONFIGURA\julha,,7,,,1,0,,HON\HON Seating\Ignition 2.0\Mid-Back Work Chair\ReActiv Back\,,,b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00\x18\x00\x00\x00\x18\x08\x06\x00\x00\x00\xe0w=\xf8\x00\x00\x00\x01sRGB\x00\xae\xce\x1c\xe9\x00\x00\x00\x04gAMA\x00\x00\xb1\x8f\x0b\xfca\x05\x00\x00\x00\tpHYs\x00\x00\x0e\xc3\x00\x00\x0e\xc3\x01\xc7o\xa8d\x00\x00\x00\x18IDATHK\xed\xc1\x01\x01\x00\x00\x00\x82 \xff\xaf\xae!@\x00\x00\\\r\t\x18\x00\x01\xd0\x02[^\x00\x00\x00\x00IEND\xaeB`\x82',,,,0.0,0.0
14,0,,,,,,,1.0,,,,,,,,,,0.0,0,,,,,,,,,,,1,1,,,,0.0,0.0,0.0,0.0,,0,,,,,,,,,6,,,1,0,,,,,b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00\x18\x00\x00\x00\x18\x08\x06\x00\x00\x00\xe0w=\xf8\x00\x00\x00\x01sRGB\x00\xae\xce\x1c\xe9\x00\x00\x00\x04gAMA\x00\x00\xb1\x8f\x0b\xfca\x05\x00\x00\x00\tpHYs\x00\x00\x0e\xc3\x00\x00\x0e\xc3\x01\xc7o\xa8d\x00\x00\x00\x18IDATHK\xed\xc1\x01\x01\x00\x00\x00\x82 \xff\xaf\xae!@\x00\x00\\\r\t\x18\x00\x01\xd0\x02[^\x00\x00\x00\x00IEND\xaeB`\x82',,,,0.0,0.0
